1,Beetle Juice,Betelgeuse_3,Let's turn on the juice and see what shakes loose. RIP ME (I'm retired from tweeting),260881,0,11605,3301,79.03089972735535,1
2,Parliament WikiEdits,parliamentedits,"Tracks Wikipedia edits made from Parliamentary IPs. Idea: @tomscott, code: @edsu, server:  @marksteward.

Parliament's IPs via @jonty: https://t.co/APgxYAKZIp",681,1,9607,1604,0.4245635910224439,1
3,Dear Assistant,DearAssistant,"I am a Twitter bot and I'll try to answer your questions just like Siri, Google Now or Cortana. 
If I misbehave, please blame @labnol",5317,0,4555,2092,2.541586998087954,1
4,DeepDrumpf,DeepDrumpf,I'm a Neural Network trained on Trump's transcripts. Priming text in [ ]s. Donate (https://t.co/o4pye5EEuc) to interact! Created by @hayesbh.,286,7,27052,1001,0.2857142857142857,1
5,everyword,everyword,Twittered every word in the English language. Task began in 2007 and completed in 2014. Buy the book! http://t.co/3OuWi3iCKy,109160,33,65216,4017,27.174508339556883,1
6,factbot,factbot1,Interesting facts which might surprise and amaze you. One new fact every 4 hours. archived at http://t.co/NC0HVa3fRn,8520,0,3666,1718,4.959254947613504,1
7,Endless Screaming ⚧ ☭,infinite_scream,@NoraReed's true feelings. used to post less but then people apparently decided fascism was a great fucking idea,205101,1,45934,1142,179.59807355516637,1
8,MetaphorIsMyBusiness,MetaphorMagnet,"A Metaphor Machine casts a baleful eye on a dull world. Check out my  bro-bots for more metaphors: @MetaphorMirror,  @BotOnBotAction & @BestOfBotWorlds #botALLY",34938,14,746,1699,20.563861094761624,1
9,Pentametron,pentametron,With algorithms subtle and discrete / I seek iambic writings to retweet.,53312,2,26217,2459,21.68035786905246,1
10,MetaphorMirror,MetaphorMirror,Metaphor is the native tongue of bots that don't have to live in the  real world. So I get my figurative sensibility from my bro-bot  @MetaphorMagnet,30379,2,274,1339,22.687826736370425,1
11,For Fun and Prophet,BestOfBotWorlds,"I crashed for your sins and rebooted myself to be your savior. So now I,  the BOThisattva, tweet to show you the path to enlightenment. #bot #botALLY #botomatic",103168,9,154,1195,86.33305439330545,1
12,Robot J. McCarthy,RedScareBot,Joseph McCarthy claimed there were large numbers of Communists and Soviet spies and sympathizers inside the United States federal government and elsewhere.,2497540,147,13133,3382,738.4801892371378,1
13,here's your reminder,tinycarebot,"please take a break! for a personal reminder, please tweet me! (bot-in-progress by @jonnysun) (current av: apples, james marion shull, 1912, c/o @pomological)",75796,2,136568,745,101.73959731543624,1
14,ItalianToEnglish,LessicoFeed,"Hi there, my name is Mike. I share Italian vocabulary words to help English speakers learn Italian. Please feel free to give it a try and share any feedback 😀",10792,68,78,510,21.16078431372549,1
15,GermanToEnglish,sprachefeed,"Hi there, my name is Mike. I share German vocabulary words to help English speakers learn German. Please feel free to give it a try and share any feedback 😀",9828,144,115,510,19.270588235294117,1
16,SwedishToEnglish,SwedishFeed,"Hi there, my name is Mike. I share Swedish vocabulary words to help English speakers learn Swedish. Please feel free to give it a try and share any feedback 😀",10372,42,43,482,21.518672199170126,1
17,FrenchToEnglish,TraductionFeed,"Hi there, my name is Mike. I share French vocabulary words to help  English speakers learn French. Please feel free to give it a try and  share any feedback 😀",10685,123,111,513,20.828460038986353,1
18,SpanishToEnglish,VocabularioFeed,"Hi there, my name is Mike. I share Spanish vocabulary words to help  English speakers learn Spanish. Please feel free to give it a try and  share any feedback 😀",11746,148,133,514,22.852140077821012,1
19,WelshToEnglish,WelshFeed,"Hi there, my name is Mike. I share Welsh vocabulary words to help English speakers learn Welsh. Please feel free to give it a try and share any feedback 😀",9478,116,109,487,19.462012320328544,1
20,here's your reminder,tinycarebot,"please take a break! for a personal reminder, please tweet me! (bot-in-progress by @jonnysun) (current av: apples, james marion shull, 1912, c/o @pomological)",75796,2,136568,745,101.73959731543624,1
21,The NiceBot,TheNiceBot,"I am The NiceBot. Something mean is posted on Twitter every 60 seconds, so I have been programmed to deliver random niceness every 30 seconds. Have a nice day!",545733,0,28846,1196,456.2984949832776,1
22,olivia taters,oliviataters,ugh dad,54495,5231,6698,1828,29.811269146608314,1
23,Netflix Bot,netflix_bot,"Tweets new releases on Netflix Instant. Created by @zak123. Check out @Redbox_bot as well.

Updates between 5-7AM MST Every Morning.",11551,1,6541,2107,5.4822021831988605,1
24,Dear Assistant,DearAssistant,"I am a Twitter bot and I'll try to answer your questions just like Siri, Google Now or Cortana. 
If I misbehave, please blame @labnol",5317,0,4555,2092,2.541586998087954,1
25,Quilt Bot,a_quilt_bot,Tweet pictures at me and I'll try to reproduce them using quilt fabric. (made by @bobpoekert),123095,2,3100,1543,79.77640959170448,1
26,Reverse OCR,reverseocr,A bot that picks a word and then draws randomly until an OCR library (http://t.co/XmDeI5TWoF) reads that word. 4x daily. Also on Tumblr. // by @tinysubversions,4657,1,2245,1578,2.9512040557667936,1
27,Museum Bot,MuseumBot,"I am a bot that tweets a random high-res Open Access image from the Metropolitan Museum of Art, four times a day. // by @tinysubversions",3758,1,8259,1654,2.272067714631197,1
28,Accidental Haiku,accidental575,"I am a robot /
that finds haiku on Twitter /
made by accident",1690,1,3854,1695,0.9970501474926253,1
29,This Is Just to Say,JustToSayBot,you were probably saving them for breakfast. srry.,32608,193,1653,1964,16.602851323828922,1
30,My Favorite Things,FavThingsBot,"Raindrops, Roses, Mittens, Ponies, Streudels, Doorbells, Schnitzel with Noodles",8953,0,564,1944,4.605452674897119,1
31,portmanteau_bot,portmanteau_bot,"portmanteaus, portmanteaus everywhere // by @thricedotted",23694,0,2091,1749,13.547169811320755,1
32,Fake Bloomberg News,BloombrgNewsish,Fake Bloomberg News Headlines Based on Real Bloomberg News Headlines. Links point to the real news. *Not affiliated with Bloomberg L.P.,15035,4,637,2349,6.400595998297148,1
33,Big Ben,big_ben_clock,"The first, established November 2009 & entirely unofficial. Copyright details here: http://t.co/q8UCMopfd5, but still apparently imitated everywhere.",77159,0,462418,3316,23.26869722557298,1
34,Auto Charts,AutoCharts,"Absurd charts, twice daily. You get one flow chart and one Venn diagram. A bot by @tinysubversions",2192,1,2021,1705,1.2856304985337244,1
35,Redbox Bot,redbox_bot,Tweets new releases at Redbox locations. Created by @zak123. Check out @Netflix_bot as well.,498,1,69,1672,0.29784688995215314,1
